ym,ipc
200001,78.745802
200002,79.123884
200003,79.552148
200004,79.959134
200005,79.972536
200006,80.023947
200007,80.437128
200008,80.813624
200009,81.262997
200010,81.452069
200011,81.504046
200012,81.629782
200101,81.782987
200102,81.983653
200103,82.400056
200104,82.056998
200105,82.076917
200106,82.029778
200107,82.171484
200108,81.922521
200109,81.973934
200110,82.004655
200111,81.600482
200112,81.525825
200201,81.101951
200202,81.07006
200203,81.506552
200204,82.100994
200205,82.214967
200206,82.028109
200207,82.056252
200208,82.139041
200209,82.528014
200210,83.120534
200211,82.788574
200212,82.761629
200301,82.953156
200302,83.342061
200303,84.273642
200304,84.230783
200305,84.203808
200306,83.805415
200307,83.680363
200308,83.691623
200309,84.159123
200310,84.200388
200311,84.341579
200312,84.817224
200401,85.273072
200402,86.19921
200403,86.596113
200404,86.576395
200405,86.882741
200406,87.372592
200407,87.541316
200408,87.532964
200409,87.547573
200410,87.526783
200411,87.777992
200412,87.76978
200501,87.857681
200502,87.651549
200503,88.221456
200504,88.326284
200505,88.437867
200506,88.671115
200507,88.763875
200508,88.60445
200509,88.520915
200510,88.649076
200511,88.709397
200512,89.081289
200601,89.526347
200602,90.0172
200603,90.428725
200604,90.889918
200605,90.410063
200606,90.290236
200607,90.136345
200608,90.261947
200609,90.28665
200610,90.326186
200611,90.071326
200612,90.094575
200701,90.103069
200702,90.336857
200703,90.651984
200704,90.813532
200705,91.260218
200706,91.68886
200707,92.124882
200708,92.251008
200709,92.816046
200710,93.107502
200711,93.210858
200712,93.633201
200801,93.84111
200802,94.692266
200803,95.678818
200804,95.826374
200805,96.180444
200806,96.920651
200807,97.459018
200808,98.034499
200809,98.590552
200810,99.195039
200811,99.501575
200812,99.860003
200901,99.965634
200902,99.890873
200903,100.250699
200904,100.269758
200905,100.226636
200906,99.88629
200907,100.072766
200908,99.865211
200909,99.778142
200910,99.900496
200911,99.78854
200912,100.104976
201001,100.401203
201002,100.725005
201003,101.007853
201004,101.033466
201005,101.273784
201006,101.527828
201007,101.897344
201008,102.170954
201009,102.138251
201010,101.993499
201011,102.001562
201012,102.1836
201101,102.582562
201102,102.974757
201103,103.698122
201104,104.404216
201105,104.379466
201106,104.482951
201107,105.311451
201108,105.591388
201109,105.944258
201110,106.277824
201111,106.736331
201112,107.025489
201201,106.917049
201202,107.264432
201203,108.086095
201204,108.660616
201205,108.703277
201206,108.663388
201207,108.761575
201208,109.31452
201209,109.907777
201210,109.728272
201211,109.57743
201212,109.860989
201301,109.987788
201302,109.891941
201303,110.887497
201304,111.167362
201305,111.382566
201306,111.674163
201307,112.286672
201308,112.896282
201309,113.019091
201310,113.062346
201311,112.815595
201312,113.002663
201401,113.360708
201402,114.041823
201403,114.633197
201404,115.08396
201405,115.342934
201406,115.526534
201407,116.027125
201408,115.927783
201409,116.11385
201410,116.553757
201411,116.379555
201412,116.645938
201501,116.844581
201502,117.199168
201503,118.095348
201504,118.556518
201505,119.22561
201506,119.621846
201507,120.161085
201508,120.614364
201509,120.647579
201510,120.819863
201511,121.23557
201512,121.775943
201601,122.229583
201602,122.442374
201603,123.174724
201604,123.188774
201605,123.446933
201606,123.619152
201607,123.720207
201608,124.163479
201609,124.419832
201610,124.934127
201611,125.296516
201612,125.715251
201701,126.014256
201702,126.421498
201703,128.07074
201704,127.740249
201705,127.199476
201706,126.996976
201707,127.248793
201708,128.104192
201709,128.08399
201710,127.482962
201711,127.231518
201712,127.431083
201801,127.593452
201802,127.912717
201803,128.535811
201804,128.359623
201805,128.383312
201806,128.812187
201807,129.305262
201808,129.475644
201809,129.723825
201810,129.829788
201811,129.988749
201812,130.225039
201901,130.310118
201902,130.475301
201903,131.424577
201904,131.687532
201905,131.881921
201906,131.768144
201907,132.036077
201908,132.116589
201909,132.125022
201910,132.271318
201911,132.415375
201912,132.699434
202001,132.770837
202002,132.9596
202003,133.818519
202004,133.95847
202005,134.231951
202006,133.874764
202007,134.494187
202008,134.345922
202009,134.529108
202010,134.551676
202011,135.25199
202012,135.317902
202101,136.323181
202102,136.152415
202103,137.295372
202104,137.151635
202105,137.517223
202106,138.231861
202107,139.624601
202108,140.999813
202109,141.564408
202110,142.39067
202111,142.90069
202112,144.019367
