dep,urbano_1993,urbano_2007,urbano_2017
Amazonas,44.0,44.2,40.2
Ancash,61.3,60.1,56.3
Apurimac,44.4,46.6,46.2
Arequipa,90.4,91.0,91.3
Ayacucho,55.4,57.3,56.3
Cajamarca,29.4,33.0,34.9
Callao,100.0,100.0,100.0
Cusco,52.0,55.3,60.3
Huancavelica,31.7,30.7,28.5
Huanuco,40.1,43.0,52.3
Ica,89.0,89.3,92.2
Junin,67.4,69.0,70.9
La Libertad,69.8,76.0,78.8
Lambayeque,78.5,78.9,79.8
Lima,97.9,98.0,98.3
Loreto,67.0,64.3,66.4
Madre de Dios,68.1,74.1,82.7
Moquegua,83.9,84.6,86.4
Pasco,65.3,61.9,62.6
Piura,68.9,73.4,77.9
Puno,45.7,50.3,51.4
San Martin,65.8,64.9,67.3
Tacna,89.5,88.6,87.2
Tumbes,90.1,91.0,93.8
Ucayali,74.0,72.4,78.2
