year,Hombres,Mujeres,Indigena,No indigena,Urbano,Rural
2007,29.367590474245937,26.00178339730521,19.51555177518052,29.71532017035775,29.02048910648724,23.14148413888138
2008,27.487963672991857,24.14474378137932,18.393261197942984,27.60417936643975,26.624202802977354,22.859738658631663
2009,28.998553757143554,25.532304494992825,18.636684371645323,29.382275120297113,28.80477538313765,22.17147297830887
2010,27.134564473877703,23.497048203484763,17.607794321691888,27.570360902782447,26.48953524684646,21.813687146863188
2011,28.952809518251094,25.117211117257543,17.990351555990326,29.818976092625483,28.55399375683177,22.868330351571096
2014,26.55673468077208,22.742306201409974,17.248984046401784,26.844583665362954,25.500166759623884,21.788743984087418
2015,26.39613166447831,23.913483849671543,18.553315125954086,27.163521280300568,26.24743399468526,21.780100447243342
2016,25.433571920257958,22.815652048846598,17.227285246418873,26.3410128240699,24.94662883147563,21.56641085485238
2017,23.312146010142186,20.404832810381752,15.12676639299602,24.052087315106693,22.749403846642558,19.062731175683904
2018,21.019625961107387,17.8530579438453,14.200507514376511,21.12070832633857,19.930092168921075,17.599532496909564
2019,21.419414861203762,18.480753544107607,13.802338008049384,21.896859020742138,20.458002058332557,17.96100050639364
2020,33.493369164618144,29.261216231277725,22.094946723000206,34.39681269656378,32.316567641036904,27.734043868469595
2021,23.17908235565942,20.883415568155744,15.177240259236497,24.21812673653109,23.11270895022848,18.09443527768383
2022,20.71761485460975,18.229403335609227,13.805308221897352,21.14469379737575,20.16207998325551,16.600824387784503
2023,20.675900170170923,17.703459785044522,12.598502628928962,21.007305043154563,19.838261937664072,16.18744802803879
2024,19.458717158173958,17.02483029804735,12.05632077248713,19.977866992193125,18.825531395542868,15.790344301511198
2025,17.01801088675121,15.195659701741155,10.91414862343449,17.57267907946837,16.534974624613977,14.122036349166894
