year,serv_share,haircut_part,n_hh
2004,11.168676391161235,42.96235108808626,19502
2006,10.611610119096449,42.66842790540672,20577
2011,12.735398405923757,46.94069611032331,24809
2013,11.930718175878212,49.646017224483295,30453
2014,12.045183365319629,52.340044876886495,30848
2015,12.87912096946874,55.85363717477379,32188
2016,14.414765546111498,55.79030841370787,35785
2017,15.828754730443741,56.05552329369694,34584
2018,17.212551278570924,56.73866987290903,37462
2019,17.561988746455384,61.05825893932001,34565
2020,13.46768624782759,43.93109700991991,34490
2021,15.455803675209768,50.22959125950322,34245
2022,17.393047061882594,50.35156846916327,34213
2023,18.09602528253218,49.70371694264635,33886
2024,18.03822833462027,46.31573171187293,33691
2025,19.107680381778597,51.75181615165597,33702
