year,p_0_14,p_15_64,p_65,p_60,edad_med,dep
2004,30.986526489257812,62.21505355834961,6.798422813415527,9.711324691772461,28.579790115356445,60.732808446811
2005,30.72945785522461,61.79530334472656,7.4752421379089355,10.544561386108398,29.039537589705258,61.824601426434825
2006,30.16679573059082,62.30449676513672,7.528710842132568,10.630727767944336,29.283315658569336,60.50206410433026
2007,30.252927780151367,62.26176452636719,7.485308647155762,10.440138816833496,29.276136561463446,60.61221797099148
2008,29.177419662475586,63.232913970947266,7.589659690856934,10.762974739074707,29.726368877478187,58.14547684806266
2009,28.62123680114746,63.420894622802734,7.95788049697876,11.131735801696777,30.154734900002094,57.67676018397625
2010,27.98798942565918,63.56671142578125,8.44528865814209,11.741366386413574,30.716104395744573,57.31502742019267
2011,27.130046844482422,63.71160888671875,9.158350944519043,12.727985382080078,31.46478524307879,56.95727736765113
2012,26.12591552734375,64.38414001464844,9.48994255065918,13.189468383789062,32.05814753055409,55.317750722304815
2013,25.863677978515625,64.42596435546875,9.710352897644043,13.666192054748535,32.380726649548876,55.21691639706126
2014,25.52080726623535,64.48992156982422,9.989263534545898,14.089969635009766,32.73991255577202,55.06297718525515
2015,26.361825942993164,63.68104934692383,9.957135200500488,13.894630432128906,32.44133561982559,57.03260470102174
2016,26.168212890625,63.95938491821289,9.872406959533691,13.879791259765625,32.61184844398708,56.3492283364593
2017,25.979007720947266,63.77177429199219,10.249221801757812,14.463626861572266,33.058042555803794,56.809191723013186
2018,25.53494644165039,63.54234313964844,10.922713279724121,15.279098510742188,33.58938383859134,57.37537824384394
2019,25.133739471435547,63.61859130859375,11.24767780303955,15.787909507751465,33.93679007252923,57.186769662975244
2020,25.27322006225586,64.24861907958984,10.478168487548828,14.84408950805664,33.47253076469563,55.645380495286
2021,24.97314453125,64.12313842773438,10.903712272644043,15.37317943572998,33.75738005611799,55.94993895117379
2022,24.799692153930664,64.08452606201172,11.115785598754883,15.58596134185791,33.903217903241156,56.043915684001085
2023,23.97925567626953,64.55269622802734,11.468046188354492,16.018768310546875,34.34964535397022,54.912194123401456
2024,23.103885650634766,64.75405883789062,12.142066955566406,16.959716796875,35.100233593240034,54.43049167688176
2025,22.026182194200256,64.67104077692922,13.302777028870528,18.34341757913428,36.022724524915276,54.62871603525214
