anio,tfr,adol_madre,educ_anios,superior_pct,edad_1er_hijo,desnutricion,anticon_mod
2004,2.4681886123372356,13.822968106561033,9.378581366249847,28.772088137544813,21.118937954684327,,
2005,2.5797129041778617,12.795942903874984,9.3716021561074,29.181608543025995,21.049918500442402,29.249150557889806,
2006,2.67663744905601,11.128011013500869,9.29470615975256,27.490024891834555,21.109405115335623,,
2007,2.530364758791783,13.413838450484816,9.30469396923673,29.471226693066196,20.665389659416267,29.332014568994484,
2008,2.4645319104365946,14.505719570485892,9.497855277881857,29.109459433409185,21.052968698854457,28.832211626833736,
2009,2.5707497202062775,13.734349857567116,9.617857426394641,27.636455812916626,21.148906669358635,23.736314958028377,
2010,2.5120689772257805,13.470290887323527,9.598431439740343,27.3468400853959,21.007040209396106,22.985269930527995,
2011,2.56501990085255,12.52317782541955,9.743189915904255,28.920754441077893,21.125456927733694,19.237428659127946,
2012,2.53156973818859,13.173624832699659,9.715851136029077,28.286475973954147,21.09581810118778,17.812149925527347,
2013,2.3850504542598125,13.944453828551667,9.952217307989288,30.789458727845087,21.087275190971628,17.334627728838505,35.140022507325824
2014,2.447701571181537,14.605012486100586,10.13553810373569,32.027704552358955,21.289611545831654,14.351539491081226,
2015,2.5198686621045168,12.800562537743367,10.155986993745913,32.36666590553506,21.317363351178184,14.45850295782851,
2016,2.403765032191644,12.512971541708755,10.39265525217698,35.163522773865445,21.383823903739696,12.889222996295837,
2017,2.302809192535137,14.436354974402613,10.528475139776507,36.35803932376071,21.418122958149816,12.73208468860458,
2018,1.9954735149159852,10.91828666127097,10.791249090010544,39.334592195552254,21.51730027826469,11.997678201470961,
2019,1.93930493134159,9.919038489401721,10.893890423236082,39.22148285803634,21.550016067679238,11.93454358506441,
2020,1.914443068415074,8.296539641623548,10.952213554402624,38.77199761529612,21.6196416448238,10.962328780196199,
2021,1.922458671531395,8.89742704137531,10.863142619001207,37.33196458087252,21.490064423975927,11.21858270034089,
2022,1.9049609242831105,9.237916173609463,10.933385758426562,38.34910904830404,21.42955953558833,11.262786647144647,
2023,1.8141163427950537,8.228926112383697,10.935027714274195,38.15880589089135,21.464056793655885,11.174377380857779,
2024,1.7346082708919222,8.350902362267911,11.090139149056144,39.703809109847406,21.47672343489827,11.674925766979658,
