anio,sector,pct_empleo,pct_informal,ing_medio
2022,Adm. publica,4.04,34.8,2607
2022,Agricultura/pesca,24.98,94.0,721
2022,Comercio,19.45,75.1,1236
2022,Construccion,7.24,82.2,1737
2022,Educacion,4.62,26.1,2076
2022,Electricidad/agua,0.61,69.8,1521
2022,Manufactura,8.34,68.5,1401
2022,Mineria,0.75,37.8,3262
2022,Otros servicios,12.22,58.9,1566
2022,Restaurantes/hoteles,7.23,85.6,1178
2022,Salud,2.6,30.2,2374
2022,Transporte/comunic.,7.92,85.2,1344
2023,Adm. publica,4.21,32.1,2769
2023,Agricultura/pesca,23.36,93.2,743
2023,Comercio,19.19,72.1,1363
2023,Construccion,6.6,79.4,1897
2023,Educacion,4.91,25.6,2191
2023,Electricidad/agua,0.65,66.6,1310
2023,Manufactura,8.45,63.6,1560
2023,Mineria,0.91,37.4,3376
2023,Otros servicios,13.21,57.0,1677
2023,Restaurantes/hoteles,7.48,83.8,1255
2023,Salud,2.95,32.3,2472
2023,Transporte/comunic.,8.09,83.9,1445
2024,Adm. publica,4.39,31.0,2856
2024,Agricultura/pesca,22.77,94.1,780
2024,Comercio,19.0,71.8,1403
2024,Construccion,6.67,77.2,1975
2024,Educacion,4.73,25.6,2350
2024,Electricidad/agua,0.62,70.0,1412
2024,Manufactura,8.7,63.4,1668
2024,Mineria,1.0,37.3,3748
2024,Otros servicios,13.24,56.2,1793
2024,Restaurantes/hoteles,7.75,84.2,1309
2024,Salud,3.09,31.0,2729
2024,Transporte/comunic.,8.03,86.0,1514
2025,Adm. publica,4.45,29.7,2884
2025,Agricultura/pesca,22.99,93.5,840
2025,Comercio,18.98,71.8,1519
2025,Construccion,6.66,76.2,2129
2025,Educacion,4.74,23.3,2545
2025,Electricidad/agua,0.66,64.4,1689
2025,Manufactura,8.64,64.1,1765
2025,Mineria,1.02,36.1,3832
2025,Otros servicios,13.31,53.8,1952
2025,Restaurantes/hoteles,7.46,83.3,1411
2025,Salud,3.18,32.1,2848
2025,Transporte/comunic.,7.93,85.8,1610
