year,n_households,population_wtd,poverty_pct,official_poverty,extreme_pct,official_extreme,pov_diff,ext_diff
2004,19502,27514564,58.7,58.7,16.4,,0.0,
2005,19895,27795187,55.6,55.6,15.8,,0.0,
2006,20577,28091386,49.099998474121094,49.1,13.800000190734863,,-0.0,
2007,22204,28453174,42.4,42.4,11.2,,0.0,
2008,21502,28987510,37.3,37.3,10.9,,0.0,
2009,21753,29268022,33.5,33.5,9.5,,0.0,
2010,21496,29624050,30.8,30.8,7.6,,0.0,
2011,24809,29943619,27.8,27.8,6.3,,0.0,
2012,25091,30532810,25.799999237060547,25.8,6.0,,-0.0,
2013,30453,31017392,23.9,23.9,4.7,,0.0,
2014,30848,31272390,22.700000762939453,22.7,4.300000190734863,,0.0,
2015,32188,31660892,21.799999237060547,21.8,4.099999904632568,,-0.0,
2016,35785,31893610,20.700000762939453,20.7,3.799999952316284,,0.0,
2017,34584,32106270,21.700000762939453,21.7,3.799999952316284,,0.0,
2018,37462,32383300,20.5,20.5,2.799999952316284,,0.0,
2019,34565,32676530,20.200000762939453,20.2,2.9000000953674316,,0.0,
2020,34490,32969390,30.100000381469727,30.1,5.099999904632568,5.1,0.0,-0.0
2021,34245,33271454,25.899999618530273,25.9,4.099999904632568,4.1,-0.0,-0.0
2022,34213,33754132,27.5,27.5,5.0,5.0,0.0,0.0
2023,33886,34107048,29.0,29.0,5.699999809265137,5.7,0.0,-0.0
2024,33691,34482700,27.600000381469727,27.6,5.5,5.5,0.0,0.0
2025,33702,34856707,25.7,25.7,4.7,4.7,0.0,0.0
