year,Argentina,Bolivia,Brasil,Chile,Colombia,Ecuador,Mexico,Peru
2000,51.0,61.6,,52.8,58.4,56.3,53.4,49.1
2001,53.3,57.4,58.4,,57.3,,,51.3
2002,53.8,59.3,58.1,,56.0,,50.6,53.6
2003,51.0,,57.6,51.5,53.6,53.5,,53.1
2004,48.5,55.0,56.5,,55.0,53.9,50.3,49.9
2005,47.8,58.5,56.3,,53.9,53.1,50.9,50.4
2006,46.4,56.7,55.6,47.7,,52.3,49.7,50.3
2007,46.3,54.5,54.9,,,53.4,,50.0
2008,45.0,50.8,54.0,,55.0,49.8,50.8,47.5
2009,43.8,49.2,53.7,47.4,54.1,48.5,,47.0
2010,43.7,,,,54.4,48.8,47.7,45.5
2011,42.7,46.1,52.9,46.9,53.3,45.9,,44.7
2012,41.4,46.6,53.4,,53.6,46.1,49.6,44.4
2013,41.1,47.6,52.7,46.8,53.5,46.9,,43.9
2014,41.8,47.8,52.1,,53.6,45.0,48.9,43.1
2015,,46.7,51.9,45.3,52.0,46.0,,43.4
2016,42.3,45.2,53.4,,51.7,45.0,46.9,43.6
2017,41.4,44.6,53.3,45.3,50.9,44.7,,43.3
2018,41.7,42.6,53.9,,51.6,45.4,46.0,42.4
2019,43.3,41.6,53.5,,52.5,45.7,,41.5
2020,42.7,43.6,48.8,47.0,54.4,47.3,44.6,43.7
2021,42.4,40.9,52.9,,55.1,45.8,,40.1
2022,40.7,41.2,51.9,43.2,54.8,45.5,43.5,40.3
2023,42.4,42.1,51.5,,54.6,44.6,,40.7
2024,42.4,40.9,50.3,43.0,54.4,45.2,42.6,40.1
2025,,,,,,45.9,,
