org,all,pobre,nopobre
Comite local de salud,0.008908590548340116,0.0,0.011154369256211995
Club de madres,0.11042421174624323,0.037972492041147804,0.1286886643080148
Club cultural,0.3055726131134896,0.15953952856151454,0.3423862920172513
Partido politico,0.35139526698090817,0.17885079887290142,0.3948922366233439
Asoc. agropecuaria,0.3890225764624616,0.24225747797281616,0.42602078975538005
Club/asoc. deportiva,0.7727839274735068,0.2043461563357909,0.9160821783297086
Sindicato,1.1609703415769874,0.3331395441328736,1.3696593332342577
APAFA (padres de familia),1.508276926973552,2.192314554222701,1.3358369511632855
Comedor popular,1.5367506829150213,2.1196778323451437,1.389799784978137
Asoc. profesional,1.5858662628683184,0.07899513870983293,1.9657354540472336
Ronda campesina,2.3461294456078274,4.198855877365474,1.8790731195397246
Asoc. de regantes,2.4306190891447272,2.181269454471837,2.4934779776889253
Vaso de leche,4.159215707824818,8.781533788365435,2.9939692561037305
Junta vecinal,6.832339286736946,6.014775508413432,7.038440051579969
Comunidad campesina,11.449900877956743,15.153327164199478,10.516299108441514
