dep,name,edu,pov
01,Amazonas,7.955454203836729,20.391012381739827
02,Ancash,8.769436842395447,22.92518939770439
03,Apurimac,7.130708818852835,20.895744442449274
04,Arequipa,11.172306523265759,12.815670482292543
05,Ayacucho,7.590658205373198,33.6777250575885
06,Cajamarca,6.934784479758137,41.03625918198515
07,Callao,11.114682364753925,32.149712087782866
08,Cusco,8.307698917844222,18.776475813423186
09,Huancavelica,6.9388148428480685,34.28106964920182
10,Huanuco,6.350035926436921,35.66297221204107
11,Ica,11.024038207742214,4.4804824592019115
12,Junin,9.52682945855266,13.461643214038189
13,La Libertad,9.295010025055813,25.54214315453708
14,Lambayeque,9.691336407716786,14.507224071653063
15,Lima,11.31734686757629,26.331893207970936
16,Loreto,8.897783038521045,40.11232064390508
17,M. de Dios,9.642909757091333,7.3021380791308115
18,Moquegua,10.65487676804107,7.818653883528021
19,Pasco,8.691313928268523,36.40479428556064
20,Piura,8.770583173482457,28.0808656744466
21,Puno,8.39468946039214,37.46464135349944
22,San Martin,7.885473926502553,21.328515615232423
23,Tacna,10.371352287906772,17.430808948311576
24,Tumbes,9.416627443959309,28.290377142837674
25,Ucayali,9.192243921243348,21.759256761951505
